County Name,Daily,Semiweekly,Weekly,Semimonthly,Monthly,Bimonthly,Quarterly,Annual,Irregular,Missing
Anderson,24%,0%,52%,0%,5%,0%,0%,0%,5%,14%
Andrews,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Angelina,27%,9%,27%,0%,0%,0%,0%,0%,0%,45%
Aransas,8%,0%,75%,0%,8%,0%,0%,0%,0%,8%
Archer,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Armstrong,0%,0%,67%,0%,0%,0%,0%,0%,0%,33%
Atascosa,0%,8%,92%,0%,0%,0%,0%,0%,0%,8%
Austin,0%,9%,87%,0%,9%,0%,0%,0%,0%,4%
Bailey,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Bandera,0%,0%,78%,0%,22%,0%,0%,0%,0%,0%
Bastrop,0%,9%,91%,9%,9%,0%,0%,0%,0%,0%
Baylor,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Bee,0%,8%,92%,0%,8%,0%,0%,0%,0%,0%
Bell,19%,7%,66%,2%,4%,0%,0%,0%,0%,10%
Bexar,19%,2%,62%,5%,13%,0%,0%,0%,2%,5%
Blanco,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Borden,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Bosque,0%,0%,86%,0%,0%,0%,5%,0%,0%,10%
Bowie,48%,0%,26%,4%,7%,0%,0%,0%,0%,19%
Brazoria,8%,4%,78%,0%,0%,0%,4%,0%,0%,10%
Brazos,8%,13%,54%,0%,17%,4%,4%,4%,4%,8%
Brewster,0%,14%,86%,0%,0%,0%,0%,0%,0%,14%
Briscoe,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Brooks,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Brown,15%,0%,55%,5%,10%,0%,0%,0%,0%,20%
Burleson,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Burnet,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Caldwell,7%,0%,82%,0%,0%,0%,0%,0%,0%,11%
Calhoun,0%,6%,100%,0%,0%,0%,0%,0%,0%,0%
Callahan,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Cameron,26%,12%,63%,4%,7%,1%,0%,0%,0%,4%
Camp,8%,0%,83%,0%,8%,0%,0%,0%,0%,0%
Carson,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Cass,0%,8%,92%,0%,0%,0%,0%,0%,0%,8%
Castro,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Chambers,0%,0%,64%,0%,0%,0%,0%,0%,0%,36%
Cherokee,6%,0%,71%,0%,10%,0%,0%,0%,0%,13%
Childress,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
Clay,0%,0%,83%,0%,0%,0%,0%,0%,0%,17%
Cochran,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Coke,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Coleman,25%,6%,75%,0%,0%,0%,0%,0%,0%,0%
Collin,28%,3%,64%,3%,3%,0%,0%,0%,0%,5%
Collingsworth,0%,0%,50%,0%,0%,0%,0%,0%,0%,50%
Colorado,18%,0%,76%,0%,0%,0%,0%,0%,0%,6%
Comal,5%,0%,79%,0%,16%,0%,0%,0%,0%,0%
Comanche,0%,0%,81%,0%,6%,0%,0%,0%,0%,13%
Concho,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Cooke,38%,0%,62%,0%,0%,0%,0%,0%,0%,0%
Coryell,0%,17%,91%,0%,4%,0%,0%,0%,0%,4%
Cottle,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Crane,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Crockett,0%,0%,75%,0%,0%,0%,0%,0%,0%,25%
Crosby,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Culberson,0%,0%,67%,0%,33%,0%,0%,0%,0%,0%
Dallam,11%,0%,78%,0%,0%,0%,0%,0%,0%,11%
Dallas,11%,4%,64%,8%,18%,1%,0%,0%,0%,7%
Dawson,13%,0%,63%,13%,13%,0%,0%,0%,0%,13%
Deaf Smith,0%,10%,80%,0%,10%,0%,0%,0%,0%,10%
Delta,0%,0%,89%,0%,0%,0%,0%,0%,0%,11%
Denton,19%,2%,63%,6%,10%,0%,0%,0%,2%,6%
De Witt,0%,25%,100%,0%,0%,0%,0%,0%,0%,0%
Dickens,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Dimmit,0%,0%,75%,0%,0%,0%,0%,0%,0%,25%
Donley,0%,7%,100%,0%,0%,0%,0%,0%,0%,0%
Duval,0%,5%,95%,0%,0%,0%,0%,0%,0%,5%
Eastland,22%,8%,75%,0%,0%,0%,3%,0%,0%,0%
Ector,24%,0%,53%,0%,12%,0%,0%,0%,6%,6%
Edwards,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Ellis,11%,6%,83%,0%,3%,0%,0%,0%,0%,3%
El Paso,30%,3%,53%,5%,12%,0%,0%,0%,1%,4%
Erath,0%,0%,92%,0%,8%,0%,0%,0%,0%,0%
Falls,17%,17%,83%,0%,0%,0%,0%,0%,0%,0%
Fannin,4%,4%,88%,0%,8%,4%,0%,0%,0%,0%
Fayette,0%,7%,96%,0%,4%,0%,0%,0%,0%,0%
Fisher,0%,0%,57%,0%,0%,0%,0%,0%,0%,43%
Floyd,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Foard,0%,0%,67%,0%,0%,0%,0%,0%,0%,33%
Fort Bend,3%,3%,78%,0%,0%,0%,0%,0%,0%,19%
Franklin,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Freestone,11%,0%,67%,0%,0%,0%,0%,0%,0%,22%
Frio,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Gaines,0%,0%,80%,20%,20%,0%,0%,0%,0%,0%
Galveston,18%,4%,61%,8%,10%,0%,0%,0%,0%,10%
Garza,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Gillespie,0%,0%,80%,20%,20%,0%,0%,0%,0%,0%
Glasscock,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Goliad,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Gonzales,18%,6%,71%,0%,6%,0%,0%,0%,0%,6%
Gray,31%,0%,62%,0%,2%,0%,0%,0%,0%,6%
Grayson,25%,0%,65%,0%,2%,0%,0%,0%,0%,8%
Gregg,37%,0%,54%,3%,6%,0%,0%,0%,0%,3%
Grimes,13%,0%,87%,0%,0%,0%,0%,0%,0%,0%
Guadalupe,5%,0%,68%,5%,9%,5%,0%,0%,0%,18%
Hale,18%,12%,71%,6%,6%,0%,0%,0%,0%,6%
Hall,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Hamilton,0%,0%,87%,0%,0%,0%,0%,0%,0%,13%
Hansford,0%,0%,78%,11%,22%,0%,0%,0%,0%,0%
Hardeman,0%,17%,67%,0%,0%,0%,0%,0%,0%,33%
Hardin,0%,8%,77%,0%,0%,0%,0%,0%,0%,23%
Harris,19%,3%,55%,8%,17%,1%,0%,0%,0%,8%
Harrison,33%,7%,56%,4%,4%,0%,0%,0%,0%,7%
Hartley,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Haskell,0%,0%,89%,0%,0%,0%,0%,0%,0%,11%
Hays,18%,2%,59%,9%,11%,0%,0%,0%,0%,13%
Hemphill,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Henderson,11%,0%,89%,0%,0%,0%,0%,0%,0%,0%
Hidalgo,14%,2%,73%,2%,7%,0%,0%,0%,0%,6%
Hill,12%,0%,76%,0%,6%,0%,0%,0%,0%,6%
Hockley,30%,10%,60%,0%,0%,0%,0%,0%,0%,10%
Hood,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Hopkins,22%,0%,67%,0%,11%,0%,0%,0%,0%,0%
Houston,4%,4%,92%,0%,0%,0%,0%,0%,0%,4%
Howard,25%,0%,75%,0%,0%,0%,0%,0%,0%,0%
Hudspeth,0%,0%,75%,0%,0%,0%,25%,0%,0%,0%
Hunt,16%,3%,75%,0%,3%,0%,0%,0%,0%,6%
Hutchinson,33%,0%,67%,0%,0%,0%,0%,0%,0%,0%
Irion,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Jack,0%,0%,89%,6%,6%,0%,0%,0%,0%,6%
Jackson,0%,0%,89%,0%,0%,0%,0%,0%,0%,11%
Jasper,0%,0%,86%,0%,0%,0%,0%,0%,0%,14%
Jeff Davis,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Jefferson,25%,10%,63%,2%,4%,2%,0%,0%,0%,8%
Jim Hogg,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Jim Wells,31%,0%,46%,0%,0%,0%,0%,0%,0%,23%
Johnson,17%,8%,61%,3%,12%,0%,0%,0%,0%,10%
Jones,0%,4%,88%,0%,0%,0%,0%,0%,0%,13%
Karnes,6%,0%,94%,0%,0%,0%,0%,0%,0%,0%
Kaufman,17%,11%,80%,0%,0%,0%,0%,0%,0%,2%
Kendall,0%,0%,83%,0%,0%,0%,0%,0%,0%,17%
Kenedy,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kent,0%,0%,50%,25%,50%,0%,0%,0%,0%,0%
Kerr,10%,5%,60%,0%,30%,5%,0%,0%,0%,0%
Kimble,0%,0%,88%,0%,0%,0%,0%,0%,0%,13%
King,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kinney,0%,0%,71%,14%,14%,0%,0%,0%,0%,14%
Kleberg,0%,12%,76%,0%,12%,0%,0%,0%,0%,12%
Knox,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Lamar,27%,0%,57%,3%,7%,0%,0%,0%,0%,9%
Lamb,0%,0%,92%,8%,8%,0%,0%,0%,0%,0%
Lampasas,13%,7%,80%,7%,7%,0%,0%,0%,0%,0%
La Salle,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Lavaca,6%,32%,87%,0%,3%,0%,0%,0%,0%,3%
Lee,0%,0%,93%,0%,0%,0%,0%,0%,0%,7%
Leon,0%,0%,93%,0%,0%,0%,0%,0%,0%,7%
Liberty,0%,8%,96%,0%,0%,0%,0%,0%,0%,4%
Limestone,22%,0%,65%,4%,9%,0%,0%,0%,0%,4%
Lipscomb,0%,0%,86%,0%,0%,0%,0%,0%,0%,14%
Live Oak,0%,0%,91%,0%,9%,0%,0%,0%,0%,0%
Llano,0%,0%,83%,0%,0%,0%,0%,0%,0%,17%
Loving,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Lubbock,17%,2%,77%,2%,2%,0%,0%,0%,0%,4%
Lynn,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
McCulloch,0%,20%,100%,0%,0%,0%,0%,0%,0%,0%
McLennan,20%,5%,62%,5%,14%,0%,1%,0%,0%,3%
McMullen,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Madison,0%,0%,88%,0%,0%,0%,0%,0%,0%,13%
Marion,12%,6%,79%,0%,3%,0%,0%,0%,0%,6%
Martin,0%,50%,100%,0%,0%,0%,0%,0%,0%,0%
Mason,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Matagorda,15%,5%,80%,0%,0%,0%,0%,0%,0%,5%
Maverick,5%,5%,79%,5%,5%,0%,0%,0%,0%,11%
Medina,4%,4%,79%,0%,8%,0%,0%,0%,0%,8%
Menard,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Midland,27%,20%,47%,0%,0%,0%,0%,0%,0%,27%
Milam,6%,6%,88%,0%,0%,0%,0%,0%,0%,6%
Mills,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Mitchell,0%,8%,75%,0%,0%,0%,0%,0%,0%,25%
Montague,0%,6%,88%,6%,6%,0%,0%,0%,0%,6%
Montgomery,8%,0%,62%,8%,8%,0%,0%,0%,0%,23%
Moore,15%,8%,77%,0%,0%,0%,0%,0%,0%,8%
Morris,0%,9%,91%,0%,0%,0%,0%,0%,0%,9%
Motley,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Nacogdoches,13%,3%,71%,3%,3%,0%,0%,0%,0%,13%
Navarro,15%,3%,71%,0%,6%,3%,0%,0%,0%,9%
Newton,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Nolan,27%,0%,60%,7%,13%,0%,0%,0%,0%,0%
Nueces,14%,5%,60%,3%,8%,1%,0%,0%,1%,17%
Ochiltree,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Oldham,0%,0%,63%,0%,0%,0%,0%,0%,0%,38%
Orange,24%,0%,76%,0%,0%,0%,0%,0%,0%,0%
Palo Pinto,14%,0%,77%,0%,0%,0%,0%,0%,0%,9%
Panola,0%,0%,88%,0%,13%,0%,0%,0%,0%,0%
Parker,14%,3%,73%,3%,3%,0%,0%,0%,0%,11%
Parmer,0%,0%,86%,14%,14%,0%,0%,0%,0%,0%
Pecos,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Polk,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Potter,35%,4%,54%,2%,6%,0%,0%,0%,2%,2%
Presidio,0%,7%,87%,7%,13%,7%,0%,0%,0%,0%
Rains,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Randall,13%,25%,88%,0%,0%,0%,0%,0%,0%,0%
Reagan,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Real,0%,0%,67%,0%,0%,0%,0%,0%,0%,33%
Red River,0%,13%,81%,0%,0%,0%,0%,0%,0%,19%
Reeves,15%,23%,73%,0%,0%,0%,0%,0%,0%,12%
Refugio,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Roberts,0%,0%,68%,11%,11%,0%,0%,0%,0%,21%
Robertson,0%,0%,65%,12%,12%,0%,0%,0%,0%,24%
Rockwall,0%,17%,83%,0%,0%,0%,0%,0%,0%,17%
Runnels,9%,4%,91%,0%,0%,0%,0%,0%,0%,0%
Rusk,10%,0%,76%,5%,5%,0%,0%,0%,0%,10%
Sabine,0%,0%,89%,0%,0%,0%,0%,0%,0%,11%
San Augustine,0%,0%,89%,0%,4%,0%,0%,0%,0%,7%
San Jacinto,0%,0%,88%,0%,0%,0%,0%,0%,0%,13%
San Patricio,0%,0%,94%,0%,0%,0%,0%,0%,0%,6%
San Saba,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Schleicher,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Scurry,8%,0%,77%,8%,8%,0%,0%,0%,0%,8%
Shackelford,0%,0%,86%,0%,0%,0%,0%,0%,0%,14%
Shelby,29%,7%,57%,0%,0%,0%,0%,0%,0%,14%
Sherman,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Smith,20%,5%,71%,0%,2%,0%,0%,0%,0%,7%
Somervell,0%,0%,83%,0%,0%,0%,0%,0%,0%,17%
Starr,13%,0%,75%,0%,0%,0%,0%,0%,13%,0%
Stephens,25%,0%,50%,0%,0%,0%,0%,0%,0%,25%
Sterling,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Stonewall,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Sutton,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Swisher,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Tarrant,15%,4%,63%,4%,11%,0%,0%,0%,0%,9%
Taylor,18%,8%,70%,8%,8%,0%,0%,0%,0%,5%
Terrell,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Terry,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Throckmorton,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Titus,20%,0%,67%,0%,0%,0%,0%,0%,0%,13%
Tom Green,29%,0%,63%,0%,4%,0%,0%,0%,0%,4%
Travis,14%,2%,58%,7%,18%,1%,0%,0%,1%,8%
Trinity,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Tyler,0%,0%,87%,0%,7%,0%,0%,0%,0%,7%
Upshur,9%,0%,82%,0%,0%,0%,0%,0%,0%,9%
Upton,0%,0%,75%,0%,0%,0%,0%,0%,0%,25%
Uvalde,9%,9%,82%,0%,9%,0%,0%,0%,0%,0%
Val Verde,14%,7%,79%,0%,0%,0%,0%,0%,0%,7%
Van Zandt,0%,6%,88%,0%,0%,0%,0%,0%,0%,12%
Victoria,22%,0%,72%,0%,0%,0%,0%,0%,0%,6%
Walker,8%,8%,67%,0%,21%,0%,0%,0%,0%,4%
Waller,5%,0%,81%,5%,5%,0%,0%,0%,0%,10%
Ward,11%,6%,83%,0%,0%,0%,0%,0%,0%,6%
Washington,23%,4%,72%,0%,2%,0%,0%,0%,0%,2%
Webb,37%,14%,57%,3%,6%,3%,0%,0%,0%,0%
Wharton,0%,33%,75%,0%,0%,0%,0%,0%,0%,25%
Wheeler,13%,0%,63%,0%,0%,0%,0%,0%,0%,25%
Wichita,23%,0%,46%,0%,23%,0%,0%,0%,0%,8%
Wilbarger,18%,9%,73%,0%,0%,0%,0%,0%,0%,9%
Willacy,0%,0%,90%,0%,10%,10%,0%,0%,0%,0%
Williamson,7%,3%,80%,0%,5%,0%,0%,0%,0%,8%
Wilson,0%,0%,73%,0%,7%,0%,0%,0%,0%,20%
Winkler,13%,25%,88%,0%,0%,0%,0%,0%,0%,0%
Wise,0%,11%,78%,0%,6%,0%,0%,0%,0%,17%
Wood,5%,0%,84%,0%,0%,0%,0%,0%,0%,11%
Yoakum,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Young,13%,13%,80%,0%,7%,0%,0%,0%,0%,0%
Zapata,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
Zavala,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%
