County Name,Chinese,English,French,German,Korean,Spanish
Anderson,0,21,0,0,0,0
Andrews,0,2,0,0,0,0
Angelina,0,11,0,0,0,0
Aransas,0,12,0,0,0,0
Archer,0,4,0,0,0,0
Armstrong,0,3,0,0,0,0
Atascosa,0,13,0,0,0,0
Austin,0,22,0,1,0,0
Bailey,0,3,0,0,0,0
Bandera,0,9,0,0,0,0
Bastrop,0,20,0,0,0,0
Baylor,0,3,0,0,0,0
Bee,0,12,0,0,0,2
Bell,0,122,0,3,0,0
Bexar,0,214,0,19,0,39
Blanco,0,9,0,0,0,0
Borden,0,2,0,0,0,0
Bosque,0,21,0,0,0,0
Bowie,0,27,0,0,0,0
Brazoria,0,51,0,0,0,0
Brazos,0,24,0,0,0,0
Brewster,0,7,0,0,0,0
Briscoe,0,6,0,0,0,0
Brooks,0,3,0,0,0,2
Brown,0,20,0,1,0,0
Burleson,0,10,0,0,0,0
Burnet,0,7,0,0,0,0
Caldwell,0,27,0,1,0,0
Calhoun,0,17,0,0,0,0
Callahan,0,8,0,0,0,0
Cameron,0,62,2,0,0,19
Camp,0,12,0,0,0,0
Carson,0,4,0,0,0,0
Cass,0,12,0,0,0,0
Castro,0,3,0,0,0,0
Chambers,0,11,0,0,0,0
Cherokee,0,31,0,0,0,0
Childress,0,2,0,0,0,0
Clay,0,12,0,0,0,0
Cochran,0,1,0,0,0,0
Coke,0,7,0,0,0,0
Coleman,0,16,0,0,0,0
Collin,0,39,0,0,0,0
Collingsworth,0,2,0,0,0,0
Colorado,0,17,0,0,0,0
Comal,0,17,0,4,0,0
Comanche,0,16,0,0,0,0
Concho,0,2,0,0,0,0
Cooke,0,20,0,1,0,0
Coryell,0,23,0,0,0,0
Cottle,0,3,0,0,0,0
Crane,0,2,0,0,0,0
Crockett,0,8,0,0,0,0
Crosby,0,9,0,0,0,0
Culberson,0,3,0,0,0,0
Dallam,0,9,0,0,0,0
Dallas,2,322,0,6,1,11
Dawson,0,8,0,0,0,0
Deaf Smith,0,9,0,0,0,1
Delta,0,9,0,0,0,0
Denton,0,52,0,0,0,0
De Witt,0,4,0,0,0,0
Dickens,0,7,0,0,0,0
Dimmit,0,4,0,0,0,0
Donley,0,15,0,0,0,0
Duval,0,15,0,0,0,9
Eastland,0,36,0,0,0,0
Ector,0,16,0,0,0,2
Edwards,0,4,0,0,0,0
Ellis,0,35,0,0,0,0
El Paso,0,77,0,0,0,40
Erath,0,24,0,0,0,0
Falls,0,12,0,0,0,0
Fannin,0,26,0,0,0,0
Fayette,0,24,0,4,0,0
Fisher,0,7,0,0,0,0
Floyd,0,11,0,0,0,0
Foard,0,3,0,0,0,0
Fort Bend,0,37,0,0,0,0
Franklin,0,2,0,0,0,0
Freestone,0,9,0,0,0,0
Frio,0,3,0,0,0,0
Gaines,0,5,0,0,0,0
Galveston,0,211,0,21,0,0
Garza,0,1,0,0,0,0
Gillespie,0,8,0,2,0,0
Glasscock,0,0,0,0,0,0
Goliad,0,9,0,0,0,0
Gonzales,0,16,0,1,0,0
Gray,0,65,0,0,0,0
Grayson,0,52,0,0,0,0
Gregg,0,35,0,0,0,0
Grimes,0,38,0,0,0,0
Guadalupe,0,20,0,2,0,0
Hale,0,17,0,0,0,0
Hall,0,7,0,0,0,0
Hamilton,0,15,0,0,0,0
Hansford,0,9,0,0,0,0
Hardeman,0,6,0,0,0,0
Hardin,0,13,0,0,0,0
Harris,6,362,0,11,2,21
Harrison,0,27,0,0,0,0
Hartley,0,3,0,0,0,0
Haskell,0,9,0,0,0,0
Hays,0,56,0,0,0,2
Hemphill,0,3,0,0,0,0
Henderson,0,9,0,0,0,0
Hidalgo,0,75,0,0,0,13
Hill,0,33,0,0,0,0
Hockley,0,10,0,0,0,0
Hood,0,19,0,0,0,0
Hopkins,0,9,0,0,0,0
Houston,0,24,0,0,0,0
Howard,0,4,0,0,0,0
Hudspeth,0,4,0,0,0,0
Hunt,0,32,0,0,0,0
Hutchinson,0,6,0,0,0,0
Irion,0,2,0,0,0,0
Jack,0,18,0,0,0,0
Jackson,0,9,0,0,0,0
Jasper,0,14,0,0,0,0
Jeff Davis,0,4,0,0,0,0
Jefferson,0,52,0,0,0,0
Jim Hogg,0,3,0,0,0,0
Jim Wells,0,9,0,0,0,4
Johnson,0,59,0,0,0,0
Jones,0,24,0,0,0,0
Karnes,0,17,0,0,0,0
Kaufman,0,46,0,0,0,0
Kendall,0,6,0,0,0,0
Kenedy,0,0,0,0,0,0
Kent,0,4,0,0,0,0
Kerr,0,20,0,0,0,0
Kimble,0,8,0,0,0,0
King,0,0,0,0,0,0
Kinney,0,7,0,0,0,0
Kleberg,0,14,0,0,0,4
Knox,0,12,0,0,0,0
Lamar,0,64,0,4,0,0
Lamb,0,12,0,0,0,0
Lampasas,0,15,0,0,0,1
La Salle,0,3,0,0,0,0
Lavaca,0,24,0,3,0,0
Lee,0,14,0,1,0,0
Leon,0,14,0,0,0,0
Liberty,0,24,0,0,0,0
Limestone,0,23,0,0,0,0
Lipscomb,0,14,0,0,0,0
Live Oak,0,11,0,0,0,0
Llano,0,6,0,0,0,0
Loving,0,0,0,0,0,0
Lubbock,0,53,0,0,0,4
Lynn,0,9,0,0,0,0
McCulloch,0,10,0,0,0,0
McLennan,0,151,0,1,0,2
McMullen,0,1,0,0,0,0
Madison,0,8,0,0,0,0
Marion,0,33,0,0,0,0
Martin,0,2,0,0,0,0
Mason,0,6,0,0,0,0
Matagorda,0,20,0,0,0,0
Maverick,0,19,0,0,0,5
Medina,0,24,0,0,0,1
Menard,0,6,0,0,0,0
Midland,0,14,0,0,0,1
Milam,0,17,0,0,0,0
Mills,0,4,0,0,0,0
Mitchell,0,12,0,0,0,0
Montague,0,17,0,0,0,0
Montgomery,0,12,0,0,0,0
Moore,0,13,0,0,0,0
Morris,0,11,0,0,0,0
Motley,0,5,0,0,0,0
Nacogdoches,0,30,0,0,0,1
Navarro,0,34,0,0,0,0
Newton,0,5,0,0,0,0
Nolan,0,15,0,0,0,0
Nueces,0,97,0,0,0,10
Ochiltree,0,10,0,0,0,0
Oldham,0,8,0,0,0,0
Orange,0,17,0,0,0,0
Palo Pinto,0,22,0,0,0,0
Panola,0,8,0,0,0,0
Parker,0,37,0,0,0,0
Parmer,0,7,0,0,0,0
Pecos,0,4,0,0,0,0
Polk,0,13,0,0,0,0
Potter,0,48,0,0,0,0
Presidio,0,14,0,0,0,2
Rains,0,5,0,0,0,0
Randall,0,8,0,0,0,0
Reagan,0,1,0,0,0,0
Real,0,6,0,0,0,0
Red River,0,16,0,0,0,0
Reeves,0,26,0,0,0,0
Refugio,0,12,0,0,0,0
Roberts,0,19,0,1,0,0
Robertson,0,17,0,1,0,0
Rockwall,0,6,0,0,0,0
Runnels,0,23,0,0,0,0
Rusk,0,21,0,0,0,0
Sabine,0,9,0,0,0,0
San Augustine,0,27,0,0,0,0
San Jacinto,0,8,0,0,0,0
San Patricio,0,16,0,0,0,0
San Saba,0,8,0,0,0,0
Schleicher,0,7,0,0,0,0
Scurry,0,13,0,0,0,0
Shackelford,0,7,0,0,0,0
Shelby,0,14,0,0,0,0
Sherman,0,2,0,0,0,0
Smith,0,54,0,0,0,1
Somervell,0,6,0,0,0,0
Starr,0,5,0,0,0,5
Stephens,0,4,0,0,0,0
Sterling,0,4,0,0,0,0
Stonewall,0,3,0,0,0,0
Sutton,0,2,0,0,0,0
Swisher,0,10,0,0,0,0
Tarrant,0,262,0,2,0,1
Taylor,0,40,0,0,0,0
Terrell,0,2,0,0,0,0
Terry,0,7,0,0,0,0
Throckmorton,0,11,0,0,0,0
Titus,0,15,0,0,0,0
Tom Green,0,24,0,0,0,1
Travis,0,332,0,16,0,16
Trinity,0,14,0,0,0,0
Tyler,0,15,0,1,0,0
Upshur,0,11,0,0,0,0
Upton,0,4,0,0,0,0
Uvalde,0,11,0,0,0,2
Val Verde,0,14,0,0,0,0
Van Zandt,0,17,0,0,0,0
Victoria,0,16,0,2,0,0
Walker,0,24,0,0,0,0
Waller,0,21,0,0,0,0
Ward,0,18,0,0,0,0
Washington,0,47,0,2,0,0
Webb,0,24,0,0,0,11
Wharton,0,11,0,0,0,0
Wheeler,0,8,0,0,0,0
Wichita,0,26,0,0,0,0
Wilbarger,0,11,0,0,0,0
Willacy,0,10,0,0,0,1
Williamson,0,55,0,3,0,0
Wilson,0,14,0,0,0,1
Winkler,0,8,0,0,0,0
Wise,0,18,0,0,0,0
Wood,0,19,0,0,0,0
Yoakum,0,6,0,0,0,0
Young,0,15,0,0,0,0
Zapata,0,1,0,0,0,4
Zavala,0,3,0,0,0,0
